iter	Passed	Remaining
783	1662	458
784	1664	455
785	1666	453
786	1668	451
787	1670	449
788	1672	447
789	1673	444
790	1675	442
791	1677	440
792	1679	438
793	1681	436
794	1682	433
795	1684	431
796	1686	429
797	1688	427
798	1690	425
799	1691	422
800	1693	420
801	1695	418
802	1697	416
803	1699	414
804	1701	412
805	1703	409
806	1705	407
807	1706	405
808	1708	403
809	1710	401
810	1712	399
811	1714	396
812	1716	394
813	1718	392
814	1720	390
815	1722	388
816	1723	386
817	1725	383
818	1727	381
819	1729	379
820	1730	377
821	1732	375
822	1734	373
823	1736	370
824	1738	368
825	1739	366
826	1741	364
827	1743	362
828	1746	360
829	1749	358
830	1751	356
831	1753	354
832	1755	351
833	1757	349
834	1758	347
835	1760	345
836	1762	343
837	1765	341
838	1767	339
839	1769	336
840	1771	334
841	1773	332
842	1775	330
843	1777	328
844	1779	326
845	1781	324
846	1783	322
847	1785	320
848	1787	317
849	1789	315
850	1791	313
851	1793	311
852	1795	309
853	1797	307
854	1799	305
855	1801	303
856	1803	300
857	1805	298
858	1807	296
859	1809	294
860	1812	292
861	1814	290
862	1816	288
863	1818	286
864	1819	284
865	1821	281
866	1823	279
867	1825	277
868	1827	275
869	1829	273
870	1831	271
871	1833	269
872	1835	267
873	1837	264
874	1839	262
875	1841	260
876	1843	258
877	1845	256
878	1847	254
879	1849	252
880	1851	250
881	1853	247
882	1855	245
883	1857	243
884	1859	241
885	1861	239
886	1863	237
887	1866	235
888	1868	233
889	1870	231
890	1872	229
891	1874	226
892	1876	224
893	1878	222
894	1880	220
895	1882	218
896	1884	216
897	1886	214
898	1888	212
899	1890	210
900	1892	207
901	1895	205
902	1897	203
903	1899	201
904	1901	199
905	1903	197
906	1905	195
907	1906	193
908	1909	191
909	1911	189
910	1912	186
911	1914	184
912	1916	182
913	1918	180
914	1920	178
915	1922	176
916	1925	174
917	1927	172
918	1929	170
919	1931	167
920	1932	165
921	1934	163
922	1936	161
923	1938	159
924	1940	157
925	1942	155
926	1944	153
927	1946	151
928	1948	148
929	1949	146
930	1951	144
931	1953	142
932	1955	140
933	1957	138
934	1959	136
935	1961	134
936	1963	132
937	1965	129
938	1966	127
939	1968	125
940	1970	123
941	1972	121
942	1974	119
943	1976	117
944	1978	115
945	1980	113
946	1982	110
947	1983	108
948	1985	106
949	1987	104
950	1989	102
951	1991	100
952	1993	98
953	1994	96
954	1996	94
955	1998	91
956	2000	89
957	2001	87
958	2003	85
959	2005	83
960	2007	81
961	2009	79
962	2011	77
963	2013	75
964	2014	73
965	2016	70
966	2018	68
967	2020	66
968	2022	64
969	2024	62
970	2026	60
971	2028	58
972	2030	56
973	2031	54
974	2033	52
975	2035	50
976	2037	47
977	2039	45
978	2041	43
979	2043	41
980	2045	39
981	2047	37
982	2048	35
983	2050	33
984	2052	31
985	2055	29
986	2057	27
